book_title,story_title,latitude,longitude,location,city,state,country,continent,century,decade,initial_date,final_date,unbuilt,architect,pg_gh,pg_img_gh,count_img_gh,fp_gh,pg_fp_gh,count_gh,pg_ha,pg_img_ha,count_img_ha,fp_ha,pg_fp_ha,count_ha,pg_mm,pg_img_mm,count_img_mm,fp_mm,pg_fp_mm,count_mm,pg_wh,pg_img_wh,count_img_wh,fp_wh,pg_fp_wh,count_wh
"A History of Architecture: Settings and Rituals, A World History of Architecture, Modern Movements in Architecture",Unity Temple,41.8883461,-87.79686493,"Oak Park, Illinois",Oak Park,Illinois,United States,North America,20,1900,1904,1906,,Frank Lloyd Wright,,,,,,,683,,1,N,,1,126,126,1,N,,1,484-486,485,2,Y,485,3
"A Global History of Architecture, A History of Architecture: Settings and Rituals, Modern Movements in Architecture, A World History of Architecture",Johnson Wax Administration Building,42.7260523,-87.7825242,"Racine, Wisconsin",Racine,Wisconsin,United States,North America,20,1930,1936,1937,,Frank Lloyd Wright,697,,,,,1,714,714,2,N,,2,133-135,133-135,3,N,,3,525-526,,3,N,,4
A History of Architecture: Settings and Rituals,"Riverside, Chicago",41.88526895,-87.6384784,"Chicago, Illinois",Chicago,Illinois,United States,North America,19,1860,1868,,,Frederick Law Olmsted; Calvert Vaux,,,,,,,663,,1,Y,,1,,,,,,,,,,,,
A World History of Architecture,Home Insurance Building,41.8795159,-87.6320964,"Chicago, Illinois",Chicago,Illinois,United States,North America,19,,1883,1885,N,William Le Baron Jenney,,,,,,,,,,,,,,,,,,,446-447,446,1,N,,2
"A History of Architecture: Settings and Rituals, A World History of Architecture",Monadnock Building,41.8775257,-87.62955615,"Chicago, Illinois",Chicago,Illinois,United States,North America,19,1880,1884,1892,,"Daniel H. Burnham, John Welborn Root",,,,,,,659,,1,N,,1,,,,,,,447,447,1,N,,2
"A Global History of Architecture, A History of Architecture: Settings and Rituals, A World History of Architecture",Reliance Building,41.8827853,-87.62851427,"Chicago, Illinois",Chicago,Illinois,United States,North America,19,1880,1889,1895,,"Daniel H. Burnham, John Welborn Root",694,694,1,N,,1,"661,666","661,666",4,Y,661,4,,,,,,,447,448,1,N,,2
Modern Movements in Architecture,Alumni Memorial Hall,41.83618805,-87.6273265,"Chicago, Illinois, USA",Chicago,Illinois,United States,North America,20,1940,1947,,,Mies van der Rohe,,,,,,,,,,,,,252,252,2,N,,1,,,,,,
"A History of Architecture: Settings and Rituals, A World History of Architecture",Auditorium Building,41.87601085,-87.62519072,"Chicago, Illinois",Chicago,Illinois,United States,North America,19,1880,1886,1889,,"Dankmar Adler, Louis Sullivan",,,,,,,659,,1,N,,1,,,,,,,467-468,468,2,N,,3
"A Global History of Architecture, A History of Architecture: Settings and Rituals",Wrigley Building,41.88965875,-87.62463564,"Chicago, Illinois, USA",Chicago,Illinois,United States,North America,20,1920,1920,1924,,"Graham, Anderson, Probst and White","695,737",695,1,N,,2,710,,1,N,,1,,,,,,,,,,,,
A History of Architecture: Settings and Rituals,Chicago Tribune Tower,41.8755616,-87.6244212,"Chicago, Illinois",Chicago,Illinois,United States,North America,20,1920,1925,,N,Howells and Hood,,,,,,,710,,1,N,,1,,,,,,,,,,,,
A History of Architecture: Settings and Rituals,Agriculture Building,41.8755616,-87.6244212,"Chicago, Illinois",Chicago,Illinois,United States,North America,19,1890,1893,,,"McKim, Mead, and White",,,,,,,673,,1,N,,1,,,,,,,,,,,,
A History of Architecture: Settings and Rituals,"Chicago, Plan of 1909",41.8755616,-87.6244212,"Chicago, Illinois",Chicago,Illinois,United States,North America,20,1900,1909,,,Daniel H. Burnham,,,,,,,675,,1,Y,,1,,,,,,,,,,,,
"A History of Architecture: Settings and Rituals, Modern Movements in Architecture, A World History of Architecture",Crown Hall,41.8755616,-87.6244212,"Chicago, Illinois",Chicago,Illinois,United States,North America,20,1950,1950,1956,,Ludwig Mies Van Der Rohe,,,,,,,729,729,2,Y,729,2,106,106,1,N,,1,521-522,521,1,N,,2
A History of Architecture: Settings and Rituals,Rookery on La Salle Street,41.8755616,-87.6244212,"Chicago, Illinois",Chicago,Illinois,United States,North America,19,1880,1884,1886,,Burnham & Root,,,,,,,659,,1,N,,1,,,,,,,,,,,,
A History of Architecture: Settings and Rituals,Second Letter Building,41.8755616,-87.6244212,"Chicago, Illinois",Chicago,Illinois,United States,North America,19,1880,1888,1891,,William Le Baron Jenney,,,,,,,660,,1,N,,1,,,,,,,,,,,,
Modern Movements in Architecture,Chicago Tribune Tower (Competition Entry),41.89066828,-87.62335673,"Chicago, Illinois, USA",Chicago,Illinois,United States,North America,20,1920,,,Y,Walter Gropius; Adolf Meyer,,,,,,,,,,,,,123,,,,,1,,,,,,
A World History of Architecture,Glessner House,41.85771665,-87.62145072,"Chicago, Illinois",Chicago,Illinois,United States,North America,19,,1885,,N,Henry Hobson Richardson,,,,,,,,,,,,,,,,,,,465,465,2,N,,3
A World History of Architecture,860 Lake Shore Drive,41.8986639,-87.6187992,"Chicago, Illinois",Chicago,Illinois,United States,North America,20,,1949,1951,N,Ludwig Mies Van Der Rohe,,,,,,,,,,,,,,,,,,,521-522,521,1,N,,2
Modern Movements in Architecture,Midways Gardens,41.78581888,-87.60701742,"Chicago, Illinois, USA",Chicago,Illinois,United States,North America,20,1910,1914,1918,,Frank Lloyd Wright,,,,,,,,,,,,,126,126,1,N,,1,,,,,,
"A Global History of Architecture, A History of Architecture: Settings and Rituals, A World History of Architecture",Frederick C. Robie House,41.7897893,-87.59599401,"Chicago, Illinois, USA",Chicago,Illinois,United States,North America,20,1900,1908,1910,,Frank Lloyd Wright,697,697,2,Y,697,2,685,685,2,Y,685,2,,,,,,,483-484,483,2,Y,483,3
A Global History of Architecture,World’s Columbian Exposition,41.78706667,-87.59389754,"Chicago, Illinois, USA",Chicago,Illinois,United States,North America,19,1890,1893,,,Daniel Burnham,688-689,688-689,1,Y,688-689,1,,,,,,,,,,,,,,,,,,
A Global History of Architecture,Bernard Schwartz House,44.16680123,-87.57636939,"Two Rivers, Wisconsin, USA",Two Rivers,Wisconsin,United States,North America,20,1930,1939,,,Frank Lloyd Wright,732,732,1,N,,1,,,,,,,,,,,,,,,,,,
A World History of Architecture,State Capitol in Nashville,36.16584285,-86.78428111,"Nashville, Tennessee",Nashville,Tennessee,United States,North America,19,,1845,1859,N,William Strickland,,,,,,,,,,,,,,,,,,,"59,426",426,1,N,,3
A Global History of Architecture,Tennessee State Capitol,36.165829,-86.78423737,"Nashville, Tennessee, USA",Nashville,Tennessee,United States,North America,19,1840,1845,1859,,William Strickland,635-636,635-636,1,N,,1,,,,,,,,,,,,,,,,,,
A World History of Architecture,First Presbyterian Church,36.16309472,-86.779888,"Nashville, Tennessee",Nashville,Tennessee,United States,North America,19,,1848,,N,William Strickland,,,,,,,,,,,,,,,,,,,419,,,N,,1
Modern Movements in Architecture,New Harmony Church,39.4986593,-86.2816575,"New Harmony, Indiana, USA",New Harmony,Indiana,United States,North America,20,1960,1960,,,Philip Johnson,,,,,,,,,,,,,208,208,1,N,,1,,,,,,
A Global History of Architecture,James Dakin Bank of Louisville,38.25638555,-85.74617536,"Louisville, Kentucky, USA",Louiseville,Kentucky,United States,North America,19,1830,1834,1836,,,635,,,,,1,,,,,,,,,,,,,,,,,,
A History of Architecture: Settings and Rituals,Kentucky Dam Powerhouse,36.6272857,-85.2835725,"Kentucky, Tennessee",Kentucky ,Tennessee,United States,North America,20,1930,1938,1944,,Roland A. Wank,,,,,,,715,,1,N,,1,,,,,,,,,,,,
Modern Movements in Architecture,Usonian House,42.70885044,-84.43917417,"Okemos, Michigan, USA",Okemos,Michigan,United States,North America,20,1930,1939,,,Frank Lloyd Wright,,,,,,,,,,,,,132,132,1,N,,1,,,,,,
"A History of Architecture: Settings and Rituals, A World History of Architecture",High Museum of Art,33.78953465,-84.38626657,"Atlanta, Georgia",Atlanta,Georgia,United States,North America,20,,1981,1984,N,Richard Meier,,,,,,,759,,1,N,,1,,,,,,,550-551,550,1,N,,2
A Global History of Architecture,University of Michigan,42.2942142,-83.71003894,"Ann Arbor, Michigan, USA",Ann Arbor,Michigan,United States,North America,20,1900,1904,1936,,Albert Kahn,686,,,,,1,,,,,,,,,,,,,,,,,,
A World History of Architecture,Serpent Mound,39.0258204,-83.43012027,"Adams County, Ohio",Adams County,Ohio,United States,North America,-9,,-800,400,N,,,,,,,,,,,,,,,,,,,,277,,,N,,1
